pid,station_name,station_lat,station_lng,flows_in,flows_out,flows_all
121,Clark St & Schiller St,41.907993,-87.631501,4195,4214,8409
122,Ritchie Ct & Banks St,41.90690183,-87.62591383,2731,2763,5494
123,Rush St & Cedar St,41.9023087,-87.62769053,4199,4337,8536
124,Christiana Ave & Lawrence Ave,41.96835449,-87.71183067,524,490,1014
125,Kedzie Ave & Leland Ave,41.96668636,-87.70805198,537,518,1055
126,Manor Ave & Leland Ave,41.965875,-87.700825,432,431,863
127,Laramie Ave & Gladys Ave,41.87579717,-87.7553165,11,11,22
128,Pulaski Rd & Congress Pkwy,41.874325,-87.725704,67,47,114
129,Karlov Ave & Madison St,41.88085,-87.727907,84,68,152
130,MLK Jr Dr & 63rd St,41.780148,-87.61601633,51,42,93
131,Wentworth Ave & 63rd St,41.78005617,-87.629786,62,94,156
132,Fairfield Ave & Roosevelt Rd,41.866624,-87.694521,166,170,336
133,Ogden Ave & Roosevelt Rd,41.8665205,-87.684537,871,802,1673
134,California Ave & 21st St,41.85380407,-87.6957424,433,432,865
135,Kedzie Ave & 21st St,41.85353363,-87.70507303,150,143,293
136,Eberhart Ave & 61st St,41.784096,-87.61325717,84,72,156
137,Cottage Grove Ave & 51st St,41.803038,-87.606615,214,253,467
138,Ellis Ave & 53rd St,41.79933626,-87.60095811,1258,1276,2534
139,Ellis Ave & 55th St,41.794301,-87.60145,2624,2708,5332
140,University Ave & 57th St,41.791478,-87.599861,3681,3539,7220
141,Woodlawn Ave & 55th St,41.795264,-87.596471,1117,1111,2228
142,Blackstone Ave & Hyde Park Blvd,41.802562,-87.590368,904,958,1862
143,Cornell Ave & Hyde Park Blvd,41.802406,-87.586924,1462,1473,2935
144,Kimbark Ave & 53rd St,41.799568,-87.594747,2358,2370,4728
145,Lake Park Ave & 53rd St,41.799602,-87.5862475,1329,1211,2540
146,DuSable Museum,41.791568,-87.607852,172,182,354
147,Lake Park Ave & 56th St,41.793242,-87.587782,1528,1417,2945
148,Museum of Science and Industry,41.79172821,-87.58394501,836,795,1631
149,Kostner Ave & Adams St,41.877917,-87.735737,50,49,99
150,900 W Harrison St,41.87470983,-87.649808,1906,1974,3880
151,Canal St & Harrison St,41.87427417,-87.63955583,955,1149,2104
152,Canal St & Jackson Blvd,41.877245,-87.639366,4388,4231,8619
153,Clinton St & Tilden St,41.875885,-87.640795,2236,2275,4511
154,Franklin St & Jackson Blvd,41.87770796,-87.63532114,5955,6057,12012
155,LaSalle St & Adams St,41.87934437,-87.63198522,1844,1899,3743
156,LaSalle St & Jackson Blvd,41.8777575,-87.63174117,9017,10096,19113
157,Peoria St & Jackson Blvd,41.877642,-87.649618,4536,4659,9195
